,Name,Headequarter,Industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,Foundation
0,Swappie,Finland,Technology,"19,152.82",477.43,"97,611,814","507,000",218,1,2016
1,Kilo Health,Lithuania,Health,"16,541.73",450.05,"57,318,766","344,428",177,10,2013
2,OCI,UK,Financial Services,"13,133.13",409.59,"568,322,073","4,325,512",32,4,2012
3,OnlyFans,UK,Technology,"11,928.05",393.63,"316,732,986","2,652,185",800,4,2016
4,Enpal,Germany,Energy,"11,441.27",386.88,"56,109,613","486,165",365,9,2017
5,MR Consulting,Germany,Waste management & recycling,"8,624.23",343.52,"13,165,586","150,908",9,2,2017
6,Thriva,UK,Health,"7,396.77",321.66,"18,732,563","251,668",57,12,2015
7,Exotec,France,Industrial Goods,"6,635.11",306.86,"47,597,000","706,700",200,15,2015
8,Winelivery,Italy,Ecommerce,"6,480.53",303.73,"7,337,290","111,500",10,1,2015
9,Instabox,Sweden,Technology,"6,287.13",299.73,"24,484,879","392,055",117,5,2015
10,Waterdrop,Austria,Food & Beverage,"5,957.94",292.74,"41,205,930","680,197",180,12,2016
11,One Lease,France,Support Services,"5,790.52",289.09,"9,015,211","153,046",11,2,2016
12,Datlas*,Italy,Technology,"5,713.76",287.39,"9,034,926","155,406",251,13,2017
13,Zego,UK,Fintech,"5,242.60",276.63,"12,158,046","229,201",224,36,2016
14,HCL-Logistics,Germany,Transport,"4,682.15",262.97,"11,387,156","238,118",24,5,2017
15,Popsa,UK,Technology,"4,649.68",262.15,"21,455,864","454,975",34,4,2016
16,Unit8,Switzerland,Technology,"4,377.53",255.10,"7,234,981","149,397",41,2,2017
17,Luoto Company,Finland,Technology,"4,303.97",253.14,"14,338,668","325,585",49,6,2016
18,Journi Print,Austria,Ecommerce,"4,165.75",249.41,"6,851,839","160,624",29,9,2014
19,Portify,France,Support Services,"4,118.60",248.11,"11,583,215","274,575",228,23,2017
20,Tibber,Norway,Energy,"4,104.02",247.71,"30,886,935","782,918",45,8,2015
21,Rascal Industry,Poland,Fashion,"4,029.49",245.65,"9,008,822","238,451",18,6,2013
22,Pegaso Security,Italy,Support Services,"3,943.64",243.23,"8,375,180","207,120",509,20,2017
23,Tide,UK,Fintech,"3,801.56",239.17,"16,136,633","416,562",581,72,2016
24,Euro Top Brand,Italy,Retail,"3,726.04",236.96,"13,888,900","363,010",1,1,2017
25,Bold Security Group,UK,Support Services,"3,356.60",225.75,"6,238,378","181,772",26,6,2011
26,Play Magnus Group,Norway,Games industry,"2,967.63",213.04,"6,461,790","214,673",140,10,2013
27,Blue Whale Growth Fund,UK,Financial Services,"2,957.41",212.69,"5,189,391","170,950",7,1,2016
28,Kazidomi,Belgium,Ecommerce,"2,950.29",212.45,"8,042,499","263,663",65,3,2016
29,Sun Finance,Latvia,Fintech,"2,899.26",210.70,"121,306,296","4,044,537",800,90,2012
30,Credimi,Italy,Financial Services,"2,859.83",209.33,"11,301,520","381,830",56,21,2015
31,SIRPLUS,Germany,Retail,"2,828.22",208.23,"4,540,000","155,043",133,8,2017
32,AIHR | Academy to Innovate HR,The Netherlands,Education,"2,752.08",205.53,"3,584,553","125,682",31,6,2016
33,Logistics Capital Partners (LCP),Luxembourg,Property,"2,744.13",205.25,"210,563,743","7,403,458",27,9,2015
34,Südwest Invest,Germany,Property,"2,660.84",202.24,"5,820,402","210,820",10,2,2017
35,CORADE (Plurimmo),France,Property,"2,646.07",201.70,"56,018,731","2,039,961",7,7,2000
36,Carranco,Spain,Food & Beverage,"2,589.10",199.60,"4,176,440","155,310",5,4,2006
37,Telemedi,Poland,Health,"2,572.52",198.98,"4,452,513","182,100",50,10,2014
38,Inkitt,Germany,Technology,"2,480.16",195.49,"5,926,970","229,713",56,22,2014
39,H.K.Trading,Italy,Retail,"2,438.64",193.90,"5,721,590","225,380",2,1,2016
40,Attest,UK,Technology,"2,424.14",193.34,"4,864,178","194,090",124,16,2015
41,LGM IMMOBILIER,France,Property,"2,416.78",193.05,"2,549,778","101,311",11,None,2016
42,Wolfram Chain*,The Netherlands,Management Consulting,"2,314.21",189.02,"2,431,371","100,711",29,7,2017
43,RightNow,Germany,Technology,"2,256.98",186.72,"8,951,132","379,771",38,3,2017
44,EO Charging,UK,Technology,"2,182.00",183.64,"17,158,962","757,323",63,7,2014
45,CheTariffa.it,Italy,Support Services,"2,164.85",182.93,"2,495,860","110,200",9,2,2013
46,Simply,UK,Financial Services,"2,131.19",181.52,"16,483,836","744,092",90,26,2017
47,Salary Finance,UK,Fintech,"2,130.67",181.50,"8,593,220","387,995",187,24,2015
48,DBT,Sweden,Fintech,"2,090.34",179.79,"3,837,994","179,204",10,2,2017
49,Tutlo,Poland,Education,"2,087.98",179.69,"7,778,203","388,565",140,15,2016
50,Ponera,France,Ecommerce,"2,082.38",179.45,"25,901,607","1,186,853",27,4,2013
51,Active Energy Solutions,Greece,Energy,"1,979.82",175.01,"13,312,033","640,056",2,0,2014
52,ACTEAM ENR,France,Energy,"1,966.73",174.43,"2,133,691","103,240",8,2,2012
53,Everflow,UK,Technology,"1,928.53",172.73,"64,223,085","3,188,715",70,8,2015
54,Azure Prism,UK,Retail,"1,909.48",171.87,"4,752,777","238,216",1,1,2016
55,WR Logistics,Germany,Transport,"1,892.58",171.11,"11,662,200","585,280",7,2,2017
56,iProov,UK,Technology,"1,889.07",170.95,"7,435,887","376,519",61,14,2011
57,Spin Up,Italy,Advertising,"1,865.84",169.89,"4,009,330","203,950",5,1,2017
58,BeGreat,Germany,Retail,"1,803.65",167.01,"5,141,555","270,090",16,4,2012
59,Tsunami Nutrition*,Italy,Ecommerce,"1,782.11",166.00,"6,945,000","369,000",17,2,2017
60,Matt Sleeps,The Netherlands,Interiors,"1,729.53",163.50,"9,789,240","535,070",6,2,2016
61,Tessian,UK,Technology,"1,702.70",162.21,"15,365,580","858,482",138,28,2013
62,Solarisbank,Germany,Financial Services,"1,690.63",161.62,"35,938,000","2,007,000",369,98,2016
63,M2DG (MyFlexoffice),France,Support Services,"1,666.64",160.45,"6,630,617","375,323",21,2,2016
64,Eukon,Italy,Health,"1,664.65",160.35,"6,393,680","362,320",11,2,2004
65,Evolution Adv,Italy,Advertising,"1,659.07",160.07,"14,175,780","805,870",13,3,2016
66,Making Science,Spain,Technology,"1,644.00",159.33,"57,670,541","3,306,795",274,47,2001
67,Everli,Italy,Ecommerce,"1,637.55",159.01,"109,248,030","6,287,460",207,45,2014
68,AppFollow,Finland,Technology,"1,624.69",158.37,"2,210,636","128,176",73,12,2014
69,Synerise,Poland,Technology,"1,613.70",157.82,"3,999,023","255,062",190,40,2013
70,ChaiKola,Poland,Food & Beverage,"1,604.74",157.37,"5,158,786","330,763",8,4,2010
71,Scolution,Germany,Technology,"1,598.31",157.04,"1,825,546","107,492",12,4,2015
72,JL&P,France,Energy,"1,586.90",156.47,"2,212,606","131,164",15,3,2017
73,eFarma.com,Italy,Pharmaceuticals,"1,579.82",156.11,"20,150,800","1,199,580",50,8,2017
74,Elvie,UK,Technology,"1,561.33",155.16,"40,813,930","2,474,341",138,22,2013
75,Farmarelax,Italy,Personal & Household Goods,"1,546.97",154.43,"4,459,170","270,750",5,1,2010
